,group,rmse
139,qp03wd,0.32001700198001576
140,qp03we,0.11669118954498285
141,qp03wf,0.6039940734929096
142,qp03wh,0.050172235301434324
143,qp03wm,0.0515158625126552
144,qp03wp,0.0466327747558433
145,qp03wq,0.05336894351901063
146,qp03wr,0.05557433215837457
147,qp03ws,0.04981812372158332
148,qp03wu,0.22702789149184743
149,qp03wz,0.6551291690553082
150,qp03x0,0.1305830779387617
151,qp03x3,0.05518430312920812
152,qp03x4,0.09636601692468692
153,qp03x5,0.1748572330377176
154,qp03x7,0.10093867479238852
155,qp03x8,0.04934228953150581
156,qp03xf,0.08684023668952214
157,qp03xg,0.10035904185937813
158,qp03xh,0.13275022235079342
159,qp03xk,0.22526825447000262
160,qp03xp,0.5137049977537217
161,qp03xs,0.15835654400042
162,qp03xt,0.3950217467259518
163,qp03xv,0.20874977255673421
164,qp03xw,0.4514809312255191
165,qp03xx,0.7884314813075893
166,qp03xy,0.425267495311773
167,qp03xz,0.2859618840415679
168,qp03y0,0.05246281411542729
169,qp03y1,0.04219915239699229
170,qp03y2,0.07422871989664838
171,qp03y3,0.08328891088159592
172,qp03y7,0.022751105000518013
173,qp03y8,0.08548206192912634
174,qp03y9,0.04867240784168422
175,qp03yb,0.599008928307846
176,qp03yc,0.07057254283204073
177,qp03yd,0.050558086427300565
178,qp03ye,0.033269425997458475
179,qp03yf,0.16141812715237402
180,qp03yk,0.0548519992130265
181,qp03ym,0.048672357407195846
182,qp03yq,0.04566399070129737
183,qp03yt,0.07091693577041414
184,qp03yu,0.10032462068842549
185,qp03yv,0.11414809763068604
186,qp03yx,0.033107106150247576
187,qp03yy,0.0480151142440822
188,qp03yz,0.05720871323726898
189,qp03z1,0.3452266255429466
190,qp03z3,0.3682521532180661
191,qp03z4,0.28692862678262776
192,qp03z6,0.3931628966654092
193,qp03z7,0.35060258446466164
194,qp03z8,0.16597895420355147
195,qp03zb,0.19424717102215042
196,qp03zc,0.2535020917006422
197,qp03zd,0.059301579381300706
198,qp03zg,0.3837248827335052
199,qp03zj,0.1664558555524075
200,qp03zk,0.29399174892075547
201,qp03zm,0.19390796727612106
202,qp03zp,0.08781020186310397
203,qp03zq,0.14055392214573859
204,qp03zr,0.09453598052258134
205,qp03zu,0.2573020186015795
206,qp03zw,0.1429083528257924
207,qp03zz,0.14008660618132973
208,qp06n8,0.04268746989306018
209,qp06n9,0.043162935048555964
210,qp06nb,0.042446481909569955
211,qp06nc,0.0456675944345404
212,qp06nd,0.034948847210248844
213,qp06ne,0.026718272165232454
214,qp06ng,0.02393446876286064
215,qp06ns,0.031194345939631923
216,qp06nv,0.029434402274864133
217,qp06p0,0.06617494094896
218,qp06p1,0.045068926683276396
219,qp06p2,0.05852319989669962
220,qp06p3,0.051519249679869886
221,qp06p4,0.03738717580730762
222,qp06p5,0.09013767482609088
223,qp06p6,0.04470535050097187
224,qp06p9,0.0749514171519931
225,qp06pc,0.08727046500359652
226,qp06pd,0.04378921312063682
227,qp06pe,0.03227504810426369
228,qp06pf,0.06613606943002791
229,qp06pg,0.059296154529826846
230,qp06ph,0.024392002254285016
231,qp06pj,0.025369487974329356
232,qp06pk,0.025818729538795066
233,qp06pm,0.02069182574617279
234,qp06pn,0.020914248352050132
235,qp06pq,0.01594889250183982
236,qp06ps,0.03641991133727318
237,qp06pt,0.028857467594787148
238,qp06pu,0.050509176900125026
239,qp06pv,0.03973552014726611
240,qp06pw,0.017845761707131102
241,qp06py,0.03596392273083927
242,qp08b4,0.10966438583032262
243,qp08b6,0.09273308660381947
244,qp08b7,0.08486760744071799
245,qp08bd,0.0810880084716486
246,qp08bh,0.10512652730006264
247,qp08bj,0.0844302460065492
248,qp08bk,0.1331304964821528
249,qp08bm,0.09443428453550558
250,qp08bq,0.09111333239217823
251,qp08br,0.06075137461232019
252,qp08bw,0.07593964606557724
253,qp08by,0.09517871116496188
254,qp08ck,0.09411364133073043
255,qp08cm,0.07640797692828975
256,qp08cn,0.07796290684155847
257,qp08cp,0.06770965675492757
258,qp08cy,0.08384704928905894
259,qp08fw,0.10989839922099799
260,qp08fx,0.10374701946848651
261,qp08fy,0.13589791761095701
